observation,vintage,version,value,basis
1959-Q1,2019-11-11,19,120416,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2020-11-12,23,125143,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2021-11-11,27,131520,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2022-11-15,31,138749,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2023-11-10,35,130713,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2024-11-15,39,144808,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2025-11-13,43,156009,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2015-05-27,1,111034,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2015-05-27,2,113036,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2016-08-25,5,116749,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2017-11-23,10,119698,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2018-08-09,13,121349,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2019-11-11,19,122381,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2020-11-12,23,127218,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2021-11-11,27,133707,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2022-11-15,31,141054,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2023-11-10,35,132823,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2024-11-15,39,147145,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q2,2025-11-13,43,158487,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2015-05-27,1,113396,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2015-05-27,2,115428,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2016-08-25,5,119239,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2017-11-23,10,122217,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2018-08-09,13,123891,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2019-11-11,19,125013,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2020-11-12,23,129949,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2021-11-11,27,136581,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2022-11-15,31,144101,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2023-11-10,35,135648,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2024-11-15,39,150275,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q3,2025-11-13,43,161850,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2015-05-27,1,116301,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2015-05-27,2,118363,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2016-08-25,5,122245,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2017-11-23,10,125317,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2018-08-09,13,127042,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2019-11-11,19,128181,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2020-11-12,23,133277,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2021-11-11,27,140079,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2022-11-15,31,147731,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2023-11-10,35,139094,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2024-11-15,39,154093,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q4,2025-11-13,43,165941,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2015-05-27,1,119158,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2015-05-27,2,121278,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2016-08-25,5,125247,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2017-11-23,10,128387,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2018-08-09,13,130145,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2019-11-11,19,131400,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2020-11-12,23,136599,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2021-11-11,27,143570,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2022-11-15,31,151420,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2023-11-10,35,142565,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2024-11-15,39,157940,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q1,2025-11-13,43,170121,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2015-05-27,1,118220,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2015-05-27,2,120346,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2016-08-25,5,124335,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2017-11-23,10,127435,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2018-08-09,13,129212,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2019-11-11,19,130435,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2020-11-12,23,135553,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2021-11-11,27,142468,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2022-11-15,31,150230,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2023-11-10,35,141565,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2024-11-15,39,156809,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q2,2025-11-13,43,168948,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2015-05-27,1,120089,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2015-05-27,2,122219,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2016-08-25,5,126225,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2017-11-23,10,129377,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2018-08-09,13,131172,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2019-11-11,19,132409,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2020-11-12,23,137604,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2021-11-11,27,144621,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2022-11-15,31,152485,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1960-Q3,2023-11-10,35,143674,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
