observation,vintage,version,value,basis
2019 DEC,2020-03-17,53,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 DEC,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 DEC,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 FEB,2019-05-13,43,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 FEB,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 FEB,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 JAN,2019-04-15,42,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 JAN,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 JUL,2019-10-14,48,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 JUL,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 JUL,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 JUN,2019-09-09,47,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 JUN,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 MAR,2019-06-10,44,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 MAR,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 MAR,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 MAY,2019-08-12,46,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 MAY,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 MAY,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 NOV,2020-02-18,52,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 NOV,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 NOV,2024-12-17,107,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 OCT,2020-01-21,51,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 OCT,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 OCT,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 SEP,2019-12-17,50,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 SEP,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 SEP,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 APR,2020-07-15,57,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 APR,2020-10-12,60,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 APR,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 APR,2024-12-17,107,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 AUG,2020-11-10,62,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 AUG,2022-06-13,81,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 AUG,2024-02-13,97,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 DEC,2021-03-23,66,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 DEC,2021-07-14,70,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 DEC,2024-02-13,97,5.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 DEC,2024-12-17,107,5.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 FEB,2020-05-18,55,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 FEB,2020-10-12,60,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 FEB,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JAN,2020-04-20,54,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 JAN,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JAN,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JUL,2020-10-12,60,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 JUL,2022-06-13,81,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JUL,2024-02-13,97,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JUL,2024-12-17,107,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JUN,2020-09-14,59,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 JUN,2020-10-12,60,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 JUN,2024-02-13,97,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 MAR,2020-06-15,56,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 MAR,2020-10-12,60,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 MAR,2022-06-13,81,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 MAR,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 MAR,2024-12-17,107,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 MAY,2020-08-10,58,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 MAY,2020-10-12,60,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 MAY,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 MAY,2024-12-17,107,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 NOV,2021-02-23,65,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 NOV,2021-07-14,70,5.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2020 NOV,2024-02-13,97,5.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 OCT,2021-01-26,64,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
