observation,vintage,version,value,basis
1995-07,2015-10-12,1,85.8,CPI All Items Index: Estimated pre-97 2005=100
1995-07,2016-01-19,4,67.0,CPI All Items Index: Estimated pre-97 2005=100
1995-07,2018-12-19,39,67.1,CPI INDEX 00: ALL ITEMS 2015=100
1995-08,2015-10-12,1,86.3,CPI All Items Index: Estimated pre-97 2005=100
1995-08,2016-01-19,4,67.4,CPI All Items Index: Estimated pre-97 2005=100
1995-09,2015-10-12,1,86.7,CPI All Items Index: Estimated pre-97 2005=100
1995-09,2016-01-19,4,67.7,CPI All Items Index: Estimated pre-97 2005=100
1995-10,2015-10-12,1,86.5,CPI All Items Index: Estimated pre-97 2005=100
1995-10,2016-01-19,4,67.6,CPI All Items Index: Estimated pre-97 2005=100
1995-11,2015-10-12,1,86.5,CPI All Items Index: Estimated pre-97 2005=100
1995-11,2016-01-19,4,67.6,CPI All Items Index: Estimated pre-97 2005=100
1995-12,2015-10-12,1,87.0,CPI All Items Index: Estimated pre-97 2005=100
1995-12,2016-01-19,4,68.0,CPI All Items Index: Estimated pre-97 2005=100
1996-01,2015-10-12,1,86.8,CPI All Items Index: Estimated pre-97 2005=100
1996-01,2016-01-19,4,67.8,CPI All Items Index: Estimated pre-97 2005=100
1996-02,2015-10-12,1,87.2,CPI All Items Index: Estimated pre-97 2005=100
1996-02,2016-01-19,4,68.1,CPI All Items Index: Estimated pre-97 2005=100
1996-03,2015-10-12,1,87.5,CPI All Items Index: Estimated pre-97 2005=100
1996-03,2016-01-19,4,68.4,CPI All Items Index: Estimated pre-97 2005=100
1996-04,2015-10-12,1,88.0,CPI All Items Index: Estimated pre-97 2005=100
1996-04,2016-01-19,4,68.7,CPI All Items Index: Estimated pre-97 2005=100
1996-05,2015-10-12,1,88.3,CPI All Items Index: Estimated pre-97 2005=100
1996-05,2016-01-19,4,68.9,CPI All Items Index: Estimated pre-97 2005=100
1996-06,2015-10-12,1,88.4,CPI All Items Index: Estimated pre-97 2005=100
1996-06,2016-01-19,4,69.0,CPI All Items Index: Estimated pre-97 2005=100
1996-07,2015-10-12,1,87.8,CPI All Items Index: Estimated pre-97 2005=100
1996-07,2016-01-19,4,68.6,CPI All Items Index: Estimated pre-97 2005=100
1996-08,2015-10-12,1,88.3,CPI All Items Index: Estimated pre-97 2005=100
1996-08,2016-01-19,4,68.9,CPI All Items Index: Estimated pre-97 2005=100
1996-09,2015-10-12,1,88.7,CPI All Items Index: Estimated pre-97 2005=100
1996-09,2016-01-19,4,69.3,CPI All Items Index: Estimated pre-97 2005=100
1996-10,2015-10-12,1,88.7,CPI All Items Index: Estimated pre-97 2005=100
1996-10,2016-01-19,4,69.3,CPI All Items Index: Estimated pre-97 2005=100
1996-11,2015-10-12,1,88.7,CPI All Items Index: Estimated pre-97 2005=100
1996-11,2016-01-19,4,69.3,CPI All Items Index: Estimated pre-97 2005=100
1996-12,2015-10-12,1,89.0,CPI All Items Index: Estimated pre-97 2005=100
1996-12,2016-01-19,4,69.5,CPI All Items Index: Estimated pre-97 2005=100
1997-01,2015-10-12,1,88.6,CPI All Items Index: Estimated pre-97 2005=100
1997-01,2016-01-19,4,69.2,CPI All Items Index: Estimated pre-97 2005=100
1997-02,2015-10-12,1,88.8,CPI All Items Index: Estimated pre-97 2005=100
1997-02,2016-01-19,4,69.4,CPI All Items Index: Estimated pre-97 2005=100
1997-03,2015-10-12,1,89.0,CPI All Items Index: Estimated pre-97 2005=100
1997-03,2016-01-19,4,69.5,CPI All Items Index: Estimated pre-97 2005=100
1997-04,2015-10-12,1,89.4,CPI All Items Index: Estimated pre-97 2005=100
1997-04,2016-01-19,4,69.8,CPI All Items Index: Estimated pre-97 2005=100
1997-05,2015-10-12,1,89.6,CPI All Items Index: Estimated pre-97 2005=100
1997-05,2016-01-19,4,70.0,CPI All Items Index: Estimated pre-97 2005=100
1997-06,2015-10-12,1,89.8,CPI All Items Index: Estimated pre-97 2005=100
1997-06,2016-01-19,4,70.2,CPI All Items Index: Estimated pre-97 2005=100
1997-07,2015-10-12,1,89.5,CPI All Items Index: Estimated pre-97 2005=100
1997-07,2016-01-19,4,69.9,CPI All Items Index: Estimated pre-97 2005=100
1997-08,2015-10-12,1,90.0,CPI All Items Index: Estimated pre-97 2005=100
1997-08,2016-01-19,4,70.3,CPI All Items Index: Estimated pre-97 2005=100
1997-09,2015-10-12,1,90.3,CPI All Items Index: Estimated pre-97 2005=100
1997-09,2016-01-19,4,70.6,CPI All Items Index: Estimated pre-97 2005=100
1997-10,2015-10-12,1,90.3,CPI All Items Index: Estimated pre-97 2005=100
1997-10,2016-01-19,4,70.6,CPI All Items Index: Estimated pre-97 2005=100
1997-11,2015-10-12,1,90.4,CPI All Items Index: Estimated pre-97 2005=100
1997-11,2016-01-19,4,70.6,CPI All Items Index: Estimated pre-97 2005=100
1997-12,2015-10-12,1,90.5,CPI All Items Index: Estimated pre-97 2005=100
1997-12,2016-01-19,4,70.7,CPI All Items Index: Estimated pre-97 2005=100
1998-01,2015-10-12,1,89.9,CPI All Items Index: Estimated pre-97 2005=100
1998-01,2016-01-19,4,70.3,CPI All Items Index: Estimated pre-97 2005=100
1998-02,2015-10-12,1,90.3,CPI All Items Index: Estimated pre-97 2005=100
1998-02,2016-01-19,4,70.5,CPI All Items Index: Estimated pre-97 2005=100
1998-03,2015-10-12,1,90.5,CPI All Items Index: Estimated pre-97 2005=100
1998-03,2016-01-19,4,70.7,CPI All Items Index: Estimated pre-97 2005=100
1998-04,2015-10-12,1,91.0,CPI All Items Index: Estimated pre-97 2005=100
1998-04,2016-01-19,4,71.1,CPI All Items Index: Estimated pre-97 2005=100
1998-05,2015-10-12,1,91.5,CPI All Items Index: Estimated pre-97 2005=100
1998-05,2016-01-19,4,71.4,CPI All Items Index: Estimated pre-97 2005=100
1998-06,2015-10-12,1,91.3,CPI All Items Index: Estimated pre-97 2005=100
1998-06,2016-01-19,4,71.3,CPI All Items Index: Estimated pre-97 2005=100
1998-07,2015-10-12,1,90.8,CPI All Items Index: Estimated pre-97 2005=100
1998-07,2016-01-19,4,71.0,CPI All Items Index: Estimated pre-97 2005=100
1998-08,2015-10-12,1,91.2,CPI All Items Index: Estimated pre-97 2005=100
